moviename,charactername,time,totaltime,release,chrono
Captain America: The Winter Soldier,Adrian Toomes,0,19,9,11
Captain America: The Winter Soldier,Agent Phil Coulson,0,18.75,9,11
Captain America: The Winter Soldier,Aldrich Killian,0,12,9,11
Captain America: The Winter Soldier,Alexander Pierce,12.75,12.75,9,11
Captain America: The Winter Soldier,Algrim,0,6.25,9,11
Captain America: The Winter Soldier,Ancient One,0,17.25,9,11
Captain America: The Winter Soldier,Arnim Zola,2.25,10.5,9,11
Captain America: The Winter Soldier,Ayesha,0,3.5,9,11
Captain America: The Winter Soldier,Baron Mordo,0,17.75,9,11
Captain America: The Winter Soldier,Betty Ross,0,27,9,11
Captain America: The Winter Soldier,Bruce Banner,0,112.75,9,11
Captain America: The Winter Soldier,Bucky Barnes,13.25,43.5,9,11
Captain America: The Winter Soldier,Cassandra Lang,0,4.5,9,11
Captain America: The Winter Soldier,Chester Phillips,0,9.25,9,11
Captain America: The Winter Soldier,Christine Everhart,0,5.25,9,11
Captain America: The Winter Soldier,Christine Palmer,0,12.75,9,11
Captain America: The Winter Soldier,Clint Barton,0,32.5,9,11
Captain America: The Winter Soldier,Col. James Rhodes,0,46.5,9,11
Captain America: The Winter Soldier,Crossbones,6.25,8.5,9,11
Captain America: The Winter Soldier,Darcy Lewis,0,17.25,9,11
Captain America: The Winter Soldier,Darren Cross,0,14.5,9,11
Captain America: The Winter Soldier,Dr. Abraham Erskine,0,8.5,9,11
Captain America: The Winter Soldier,Dr. Helen Cho,0,3.25,9,11
Captain America: The Winter Soldier,Dr. Stephen Strange,0,76.25,9,11
Captain America: The Winter Soldier,Drax the Destroyer,0,34.5,9,11
Captain America: The Winter Soldier,Ego the Living Planet,0,17.5,9,11
Captain America: The Winter Soldier,Emil Blonsky,0,18.5,9,11
Captain America: The Winter Soldier,Erik Selvig,0,24,9,11
Captain America: The Winter Soldier,Fandral,0,9.5,9,11
Captain America: The Winter Soldier,Frigga,0,6,9,11
Captain America: The Winter Soldier,Gamora,0,55,9,11
Captain America: The Winter Soldier,Gen. Thaddeus Ross,0,17.75,9,11
Captain America: The Winter Soldier,Grandmaster,0,6,9,11
Captain America: The Winter Soldier,Groot,0,29.5,9,11
Captain America: The Winter Soldier,Hank Pym,0,24.75,9,11
Captain America: The Winter Soldier,Happy Hogan,0,17.75,9,11
Captain America: The Winter Soldier,Harley Keener,0,6.25,9,11
Captain America: The Winter Soldier,Heimdall,0,13.5,9,11
Captain America: The Winter Soldier,Hela,0,12.25,9,11
Captain America: The Winter Soldier,Ho Yinsen,0,11,9,11
Captain America: The Winter Soldier,Hogun,0,8.25,9,11
Captain America: The Winter Soldier,Hope van Dyne,0,15.75,9,11
Captain America: The Winter Soldier,Howard Stark,0,8.75,9,11
Captain America: The Winter Soldier,Ivan Vanko,0,20.75,9,11
Captain America: The Winter Soldier,Jane Foster,0,46,9,11
Captain America: The Winter Soldier,Jasper Sitwell,4,5.5,9,11
Captain America: The Winter Soldier,Johann Schmidt,0,15.5,9,11
Captain America: The Winter Soldier,Justin Hammer,0,16.5,9,11
Captain America: The Winter Soldier,Kaecilius,0,12.75,9,11
Captain America: The Winter Soldier,King Laufey,0,3.5,9,11
Captain America: The Winter Soldier,Korg,0,3.75,9,11
Captain America: The Winter Soldier,Kraglin,0,6.5,9,11
Captain America: The Winter Soldier,Laura Barton,0,3.75,9,11
Captain America: The Winter Soldier,Liz Allan,0,9.75,9,11
Captain America: The Winter Soldier,Loki,0,75.25,9,11
Captain America: The Winter Soldier,Luis,0,7,9,11
Captain America: The Winter Soldier,Malekith the Accursed,0,8.75,9,11
Captain America: The Winter Soldier,Mantis,0,11,9,11
Captain America: The Winter Soldier,Maria Hill,3.25,11.75,9,11
Captain America: The Winter Soldier,May Parker,0,5,9,11
Captain America: The Winter Soldier,Maya Hansen,0,8.75,9,11
Captain America: The Winter Soldier,Natasha Romanoff,24.75,89,9,11
Captain America: The Winter Soldier,Nebula,0,15,9,11
Captain America: The Winter Soldier,Ned Leeds,0,13.75,9,11
Captain America: The Winter Soldier,Nick Fury,15.5,43.75,9,11
Captain America: The Winter Soldier,Obadiah Stane,0,22,9,11
Captain America: The Winter Soldier,Odin,0,23.75,9,11
Captain America: The Winter Soldier,Paxton,0,4.5,9,11
Captain America: The Winter Soldier,Peggy Carter,2.25,20.5,9,11
Captain America: The Winter Soldier,Pepper Potts,0,64,9,11
Captain America: The Winter Soldier,Peter Parker,0,84.75,9,11
Captain America: The Winter Soldier,Peter Quill,0,82.5,9,11
Captain America: The Winter Soldier,Pietro Maximoff,0.25,10.25,9,11
Captain America: The Winter Soldier,Raza,0,6,9,11
Captain America: The Winter Soldier,Rocket Raccoon,0,39.25,9,11
Captain America: The Winter Soldier,Ronan the Accuser,0,7.75,9,11
Captain America: The Winter Soldier,Sam Wilson,14.25,28,9,11
Captain America: The Winter Soldier,Samuel Sterns,0,7.5,9,11
Captain America: The Winter Soldier,Savin,0,6,9,11
Captain America: The Winter Soldier,Scott Lang,0,56,9,11
Captain America: The Winter Soldier,Sharon Carter,2.5,7.5,9,11
Captain America: The Winter Soldier,Sif,0,11.5,9,11
Captain America: The Winter Soldier,Skurge,0,6.75,9,11
Captain America: The Winter Soldier,Steve Rogers,59,205.25,9,11
Captain America: The Winter Soldier,T'Challa,0,11.5,9,11
Captain America: The Winter Soldier,Taserface,0,4.25,9,11
Captain America: The Winter Soldier,The Collector,0,3.75,9,11
Captain America: The Winter Soldier,Thor,0,167.25,9,11
Captain America: The Winter Soldier,Tinkerer,0,3.75,9,11
Captain America: The Winter Soldier,Tony Stark,0,306,9,11
Captain America: The Winter Soldier,Trevor Slattery,0,7.5,9,11
Captain America: The Winter Soldier,Ultron,0,16.75,9,11
